w_Si(nm),h_Si(nm),Refractive Index(real part),Refractive Index(imaginary part) 
137.6,220,2.2664,-0.045194
137.7,220,2.2663,-0.045185
137.8,220,2.2662,-0.045188
137.9,220,2.2661,-0.045189
138,220,2.266,-0.04519
138.1,220,2.2659,-0.045185
138.2,220,2.2658,-0.045183
138.3,220,2.2657,-0.045166
138.4,220,2.2656,-0.045181
138.5,220,2.2655,-0.045174
138.6,220,2.2654,-0.045162
138.7,220,2.2653,-0.045168
138.8,220,2.2652,-0.045184
138.9,220,2.2651,-0.045168
139,220,2.265,-0.045177
139.1,220,2.2649,-0.045173
139.2,220,2.2648,-0.045187
139.3,220,2.2647,-0.04517
139.4,220,2.2646,-0.045172
139.5,220,2.2645,-0.045173
139.6,220,2.2643,-0.04518
139.7,220,2.2642,-0.045177
139.8,220,2.2641,-0.045205
139.9,220,2.264,-0.045187
140,220,2.264,-0.045186
140.1,220,2.2639,-0.045172
140.2,220,2.2638,-0.045174
140.3,220,2.2637,-0.045168
140.4,220,2.2636,-0.045186
140.5,220,2.2635,-0.045165
140.6,220,2.2634,-0.045164
140.7,220,2.2633,-0.045156
140.8,220,2.2632,-0.045157
140.9,220,2.2631,-0.04515
141,220,2.263,-0.045189
141.1,220,2.2629,-0.045203
141.2,220,2.2628,-0.045205
141.3,220,2.2627,-0.045208
141.4,220,2.2626,-0.045199
141.5,220,2.2625,-0.045198
141.6,220,2.2624,-0.045197
141.7,220,2.2623,-0.04519
141.8,220,2.2622,-0.045158
141.9,220,2.2621,-0.045195
142,220,2.262,-0.045193
142.1,220,2.2619,-0.045187
142.2,220,2.2618,-0.045183
142.3,220,2.2617,-0.045187
142.4,220,2.2616,-0.045184
142.5,220,2.2615,-0.045184
142.6,220,2.2614,-0.045164
142.7,220,2.2614,-0.045093
142.8,220,2.2613,-0.045085
142.9,220,2.2611,-0.045167
143,220,2.2611,-0.04514
143.1,220,2.261,-0.045114
143.2,220,2.2609,-0.045133
143.3,220,2.2608,-0.045103
143.4,220,2.2607,-0.045079
143.5,220,2.2606,-0.045106
